"","hydrophobicity","is_tmh","binds_mhc1","binds_mhc2"
"668",1.235,0,1,0
"669",-0.26,0,0,0
"670",1.295,0,1,0
"671",-0.985,0,0,0
"672",-0.965,0,0,0
"673",-0.555,0,0,0
"674",0.125,0,0,0
"675",-1.065,0,0,0
"676",-1.035,0,0,0
"677",0.48,0,1,0
"678",-0.24,0,0,0
"679",-1.255,0,0,0
"680",-1.525,0,0,0
"681",-0.495,0,0,0
"682",1.435,0,1,0
"683",-0.635,0,0,0
"684",1.68,0,1,0
"685",-0.625,0,0,0
"686",0.81,0,0,0
"687",-0.705,0,1,0
"688",-1.02,0,0,0
"689",1.22,0,1,0
"690",-1.15,0,0,0
"691",-2.365,0,0,0
"692",0.15,0,1,0
"693",0.665,0,1,0
"694",0.51,0,1,0
"695",0.935,0,1,0
"696",0.345,0,1,0
"697",0.605,0,0,0
"698",0.245,0,1,1
"699",-0.37,0,0,0
"700",0.175,0,1,0
"701",0.26,0,0,0
"702",-2.385,0,0,0
"703",-1.425,0,0,0
"704",-1.66,0,0,0
"705",-0.24,0,1,0
"706",0.435,0,0,0
"707",0.595,0,1,0
"708",-3.305,0,0,0
"709",-1.4,0,0,0
"710",0.56,0,0,0
"711",-1.145,0,0,0
"712",0.63,0,1,0
"713",-2.415,0,0,0
"714",-0.66,0,0,0
"715",-1.05,0,0,0
"716",1.555,0,1,0
"717",-0.325,0,0,0
"718",-0.76,0,0,0
"719",-0.38,0,1,0
"720",0.685,0,1,0
"721",0.02,0,0,0
"722",-1.105,0,0,0
"723",1.035,0,0,0
"724",0.99,0,0,0
"725",1.37,0,0,0
"726",-0.3,0,1,0
"727",-1.3,0,1,0
"728",0.515,0,1,0
"729",0.405,0,1,0
"730",-1.02,0,0,0
"731",-0.19,0,0,1
"732",0.53,0,1,0
"733",-0.025,0,0,0
"734",0.62,0,0,0
"735",0.94,0,0,0
"736",-1.17,0,0,0
"737",-1.255,0,0,0
"738",0.615,0,1,0
"739",1.345,0,1,0
"740",-1.795,0,0,0
"741",-0.26,0,0,0
"742",-0.415,0,0,0
"743",1.74,0,1,1
"744",-0.78,0,0,0
"745",-0.605,0,0,0
"746",0.43,0,0,0
"747",-0.76,0,1,0
"748",0.33,0,0,0
"749",-0.675,0,0,0
"750",-0.635,0,0,0
"751",-1.085,0,0,0
"752",0.27,0,0,0
"753",-0.62,0,1,0
"754",-0.29,0,0,0
"755",-1.135,0,0,0
"756",-0.325,0,0,0
"757",0.96,0,1,0
"758",0.22,0,1,0
"759",-0.33,0,0,0
"760",-0.12,0,1,0
"761",-0.25,0,0,0
"762",1,0,1,0
"763",-1.52,0,0,0
